rmse,mae,mape,directional_accuracy,qlike,ticker,model,n_predictions
0.30783690510369155,0.1404654441909571,44.3243081421924,45.45454545454545,0.8371233581008987,SNPS,ridge,639.0
0.31065050429260427,0.14276303880954005,44.37581370447926,52.19435736677116,0.2647678830522124,SNPS,lasso,639.0
0.315154622397506,0.15149411721510006,49.97394665371714,49.52978056426332,1.1984584361994997,SNPS,random_forest,639.0
0.3174251833830584,0.155604787971999,50.491035182463186,52.82131661442007,1.1314229571106837,SNPS,xgboost,639.0
0.3245688376181588,0.1588092045688773,49.428641718029326,48.11912225705329,1.7838049206680868,SNPS,lightgbm,639.0
0.3095176546986544,0.1491847142228111,47.276484069657776,44.043887147335425,1.1757171925975398,SNPS,knn,639.0
0.12109253083371713,0.08845023355205442,50.808308913719934,41.06583072100313,-1.6614642491206648,MSFT,ridge,639.0
0.1142717400588447,0.08712242207046357,55.71656002808728,48.11912225705329,-1.8156365811257877,MSFT,lasso,639.0
0.13555079091617012,0.09765413671140895,59.93586260876215,52.03761755485894,-1.6896399638543789,MSFT,random_forest,639.0
0.14069156133263833,0.10225638044947585,59.366481097695086,53.13479623824452,-1.2965381752459113,MSFT,xgboost,639.0
0.14258354712610324,0.10368047018960325,61.08401373380783,51.09717868338558,-1.39509060783814,MSFT,lightgbm,639.0
0.1309312792982015,0.09633687305031803,54.99671546756477,47.80564263322884,-1.3706435663741796,MSFT,knn,639.0
0.14752221634116816,0.10949675540231789,47.88528717080515,44.20062695924764,-1.1941365000116868,AMZN,ridge,639.0
0.141790604779064,0.10086624707778315,45.69182526410116,49.059561128526646,-1.2478579978242117,AMZN,lasso,639.0
0.16839108047016105,0.12488862034380263,55.35939226298521,50.15673981191222,-1.1275315684299752,AMZN,random_forest,639.0
0.1751713274567322,0.12944929599586752,55.724208014635494,51.88087774294671,-1.010290070753809,AMZN,xgboost,639.0
0.17507548433412548,0.12778152292909353,55.69563642549834,49.059561128526646,-1.0902617948509217,AMZN,lightgbm,639.0
0.1748549056680474,0.12720908418727636,50.2454233652321,44.98432601880878,-0.7623883508503414,AMZN,knn,639.0
0.2100593115915291,0.13114468783036906,50.616752688314605,46.23824451410658,-0.7131672830049204,META,ridge,639.0
0.2110085153546811,0.13239575945713855,52.74669994351597,49.52978056426332,-0.8604075128153026,META,lasso,639.0
0.23906068137478145,0.16070292337887726,63.802446050143004,53.29153605015674,-0.8865847538130074,META,random_forest,639.0
0.25718168182808376,0.16630553798207398,65.4941695240552,53.60501567398119,-0.49898102569025415,META,xgboost,639.0
0.2406154494184632,0.16077547446497192,63.35814173102408,55.01567398119123,-0.5780846249912455,META,lightgbm,639.0
0.2401036563236305,0.15325840685105704,54.41624115521792,49.52978056426332,-0.17108558017146336,META,knn,639.0
0.13980565998815517,0.10041151016412293,46.10796810318097,46.39498432601881,-1.2071129738523931,GOOG,ridge,639.0
0.13746905717331878,0.09757429112786183,47.59368263121934,48.275862068965516,-1.3487910929790294,GOOG,lasso,639.0
0.14627188242444616,0.10553546427967216,50.31237198103386,53.60501567398119,-1.247180718007237,GOOG,random_forest,639.0
0.1550833852267872,0.11253357805217709,52.85208473535952,54.2319749216301,-1.0329790228559077,GOOG,xgboost,639.0
0.15435105897303095,0.11239573500034794,52.203034620228514,54.54545454545454,-1.1949471116057742,GOOG,lightgbm,639.0
0.15351287829751337,0.11115516786839917,51.11532056794926,47.17868338557994,-0.8425068724126309,GOOG,knn,639.0
0.10929573268499601,0.087639576024398,58.96101308449807,47.64890282131661,-1.9204138824510364,AAPL,ridge,639.0
0.1092774820694509,0.09372316738312365,69.77049630370826,50.626959247648905,-1.9458380040418175,AAPL,lasso,639.0
0.1207518018182238,0.09882250772188252,72.41944916697383,50.626959247648905,-1.8959866721566934,AAPL,random_forest,639.0
0.13069917996538422,0.10549761454213531,77.55927736233545,50.626959247648905,-1.8442321063702856,AAPL,xgboost,639.0
0.12867994643110545,0.10331641877128256,74.91728619445159,47.80564263322884,-1.8575289516621354,AAPL,lightgbm,639.0
0.12572637765605285,0.09911291214482462,66.31691188330161,48.275862068965516,-1.6531296549790921,AAPL,knn,639.0
0.14373494437650683,0.10475689686041531,49.07005013880863,47.64890282131661,-1.212601675634429,CRM,ridge,639.0
