ticker,model,distribution,aic,bic,log_likelihood,num_params,n_obs,param_mu,param_omega,param_alpha[1],param_beta[1],param_nu,param_eta,param_lambda,param_gamma[1],param_phi,param_d,param_beta
PLTR,"EGARCH(1,1)",normal,7816.639301431867,7842.737511632521,-3903.3196507159337,5,1366,0.18751579293281945,0.33314143856409056,0.19374387691271497,0.8900031721857458,,,,-0.012310110751113839,,,
PLTR,"EGARCH(1,1)",t,7590.95271373716,7622.270565977944,-3789.47635686858,6,1366,0.13645789117760151,0.11004591524894594,0.16430826381352423,0.966894643898409,3.9448293896286635,,,-0.005780207549385491,,,
PLTR,"EGARCH(1,1)",skewt,7591.452627828838,7627.9901221097525,-3788.726313914419,7,1366,0.19613546210521005,0.1073310835087703,0.1604832075557506,0.9678062208305326,,3.9297330824498884,0.04509795850837135,-0.00537524713828095,,,
PLTR,"EGARCH(1,1)",ged,7623.200676683851,7654.518528924636,-3805.6003383419256,6,1366,0.11932588105672605,0.1711011736606617,0.17290642393701858,0.9439810977012426,1.1074229598793175,,,-0.010447488096117568,,,
SAP,"GARCH(1,1)",normal,9769.593896517363,9792.923540226115,-4880.796948258681,4,2521,0.07831261985330282,0.11054268994225067,0.0802197262465605,0.8949018223004207,,,,,,,
SAP,"GARCH(1,1)",t,9123.498310311184,9152.660364947124,-4556.749155155592,5,2521,0.08898150218837124,0.09206538432527024,0.07832453176073625,0.8934873962392033,4.105308023844272,,,,,,
SAP,"GARCH(1,1)",skewt,9116.620971476314,9151.615437039442,-4552.310485738157,6,2521,0.05121348001125652,0.09270484007421528,0.07890580571436907,0.8923905764589555,,4.1449486707985335,-0.08152312218131956,,,,
SAP,"GARCH(1,1)",ged,9214.36732640424,9243.52938104018,-4602.18366320212,5,2521,0.09874227342494465,0.09688325885612946,0.07680344862838455,0.8917198669771961,1.0766848296121925,,,,,,
SAP,"GJR-GARCH(1,1)",normal,9704.76125461586,9733.923309251799,-4847.38062730793,5,2521,0.06583833125984591,0.07563335558597302,0.0013445851776460972,0.9118423142589231,,,,0.14288853758516867,,,
SAP,"GJR-GARCH(1,1)",t,9111.048854679866,9146.043320242994,-4549.524427339933,6,2521,0.08095414891146711,0.08131956907682164,0.027850262313003128,0.902971991860404,4.195775823198912,,,0.08261145601375586,,,
SAP,"GJR-GARCH(1,1)",skewt,9102.280878263491,9143.107754753806,-4544.140439131746,7,2521,0.03987879747127438,0.0847999291058878,0.02798448304430741,0.900248906332012,,4.227461813433711,-0.09025888055254973,0.08873536609360054,,,
SAP,"GJR-GARCH(1,1)",ged,9200.37150288798,9235.365968451108,-4594.18575144399,6,2521,0.08833021319699313,0.08161471332604592,0.020800491969505373,0.9042297923437242,1.090324179283364,,,0.09138726276365229,,,
SAP,"EGARCH(1,1)",normal,9599.12934677241,9628.291401408349,-4794.564673386205,5,2521,0.02291737883921021,0.03375646994811343,0.10125894698574527,0.976786596348342,,,,-0.09786302643852143,,,
SAP,"EGARCH(1,1)",t,9068.174075523944,9103.168541087072,-4528.087037761972,6,2521,0.07462256318477098,0.027275090298710534,0.11614184856509858,0.9774313397222413,4.3643634321365985,,,-0.06528302851513114,,,
